From: Smith-Martin et al. (2019) Effects of dry-season irrigation on leaf physiology and biomass allocation in tropical lianas and trees. Ecology 100:e02827,,,,,,,,,,
These data are summaries of data available online with the article:,,,,,,,,,,
mean_MPa is pre-dawn leaf water potential; it is the mean from replicate trees in replicate plots which were not watered.,,,,,,,,,,
Photo.umolCO2 is CO2 flux into a leaf; it is a  measure of photosynthetic rate,,,,,,,,,,
,,,,,,,,,,
Plot,Tag,Season,Month,Treatment,Habit,Species,PredawnMPa,MiddayMPa,MiddayMinusPredawnMPa,Photo.umolCO2
2,128,wet,Sep,watered,liana,Davillakunthii,-0.079,-1.349,-1.27,NA
2,175,wet,Sep,watered,liana,Davillakunthii,-0.233,-1.188,-0.955,NA
2,122,wet,Sep,watered,liana,Doliocarpusmajor,-0.172,-1.379,-1.207,NA
2,192,wet,Sep,watered,liana,Doliocarpusmajor,-0.115,-1.729,-1.614,NA
2,141,wet,Sep,watered,liana,Machaeriummilleflorum,-0.352,-1.021,-0.669,NA
2,168,wet,Sep,watered,liana,Machaeriummilleflorum,-0.601,-1.639,-1.038,NA
2,133,wet,Sep,watered,liana,Maripapanamensis,-0.052,-0.831,-0.779,NA
2,146,wet,Sep,watered,liana,Maripapanamensis,-0.26,-0.889,-0.629,NA
2,123,wet,Sep,watered,liana,Paulliniapinnata,-0.487,-1.877,-1.39,NA
2,194,wet,Sep,watered,liana,Paulliniapinnata,-0.694,-1.977,-1.283,NA
2,105,wet,Sep,watered,tree,Crescentiacujete,-0.728,-1.502,-0.774,NA
2,181,wet,Sep,watered,tree,Crescentiacujete,-0.434,-1.239,-0.805,NA
2,169,wet,Sep,watered,tree,Dipteryxoleifera,-0.032,-1.682,-1.65,NA
2,179,wet,Sep,watered,tree,Dipteryxoleifera,-0.772,-1.903,-1.131,NA
2,152,wet,Sep,watered,tree,Hieronymaalchorneoides,-0.361,-0.813,-0.452,NA
2,193,wet,Sep,watered,tree,Hieronymaalchorneoides,-0.167,-1.112,-0.945,NA
2,172,wet,Sep,watered,tree,Huracrepitans,-0.17,-0.428,-0.258,NA
2,198,wet,Sep,watered,tree,Huracrepitans,-0.107,-0.802,-0.695,NA
2,131,wet,Sep,watered,tree,Swieteniamacrophylla,-0.271,-2.269,-1.998,NA
2,142,wet,Sep,watered,tree,Swieteniamacrophylla,-0.627,-0.629,-0.002,NA
2,159,wet,Sep,watered,tree,Terminaliaamazonia,-0.158,-0.456,-0.298,NA
2,199,wet,Sep,watered,tree,Terminaliaamazonia,-0.513,-1.679,-1.166,NA
3,204,dry,Apr,watered,liana,Callichlamyslatifolia,-0.904,-1.243,-0.339,NA
3,260,dry,Apr,watered,liana,Davillakunthii,-0.227,-1.821,-1.594,NA
3,284,dry,Apr,watered,liana,Davillakunthii,-0.355,-1.012,-0.657,NA
3,234,dry,Apr,watered,liana,Doliocarpusmajor,-0.36,-1.35,-0.99,NA
3,205,dry,Apr,watered,liana,Machaeriummilleflorum,-0.825,-2.123,-1.298,NA
3,297,dry,Apr,watered,liana,Machaeriummilleflorum,-0.532,-0.904,-0.372,NA
3,231,dry,Apr,watered,liana,Maripapanamensis,-0.985,-1.537,-0.552,NA
3,286,dry,Apr,watered,liana,Maripapanamensis,-0.67,-1.39,-0.72,NA
3,266,dry,Apr,watered,tree,Dipteryxoleifera,-1.27,-1.347,-0.077,NA
3,269,dry,Apr,watered,tree,Hieronymaalchorneoides,-0.685,-1.12,-0.435,NA
3,288,dry,Apr,watered,tree,Hieronymaalchorneoides,-0.783,-1.377,-0.594,NA
3,202,dry,Apr,watered,tree,Huracrepitans,-0.917,-0.925,-0.008,NA
