From: Smith-Martin et al. (2019) Effects of dry-season irrigation on leaf physiology and biomass allocation in tropical lianas and trees. Ecology 100:e02827,,,,,,,,,,,,,,
These data are summaries of data available online with the article:,,,,https://doi.org/10.5061/dryad.844rs7d,,,,,,,,,,
mean_MPa is pre-dawn leaf water potential; it is the mean from replicate trees in replicate plots which were not watered.,,,,,,,,,,,,,,
mean_CO2_flux is flux into a leaf; it is a very close proxy for photosynthetic rate,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Plot,Treatment,Tag,Speciesname,Habit,PredawnMPa,MiddayMPa,MiddayMinusPredawnMPa,Photo.umolCO2,Condu.mol.H2O,IntrinsicWUE.A,InstantaneusWUE.A,SoilMoisture,Date,Season
5,unwatered,452,Crescentiacujete,tree,-0.65,-1.718,-1.068,NA,NA,NA,NA,19.8368,2_March_15,dry
5,unwatered,491,Crescentiacujete,tree,-0.272,-1.059,-0.787,NA,NA,NA,NA,21.72,3_March_15,dry
5,unwatered,408,Swieteniamacrophylla,tree,-1.628,-2.974,-1.346,NA,NA,NA,NA,20.1792,2_March_15,dry
5,unwatered,471,Swieteniamacrophylla,tree,-0.766,-2.315,-1.549,NA,NA,NA,NA,20.864,4_March_15,dry
5,unwatered,473,Swieteniamacrophylla,tree,-1.609,-2.602,-0.993,NA,NA,NA,NA,17.0548,6_March_15,dry
5,unwatered,401,Terminaliaamazonia,tree,-2.104,-2.576,-0.472,NA,NA,NA,NA,20.1792,2_March_15,dry
5,unwatered,459,Terminaliaamazonia,tree,-0.411,-2.293,-1.882,NA,NA,NA,NA,18.6384,11_March_15,dry
6,watered,596,Callichlamyslatifolia,liana,-0.267,-1.458,-1.191,NA,NA,NA,NA,26,11_March_15,dry
6,watered,597,Callichlamyslatifolia,liana,-0.195,-1.469,-1.274,NA,NA,NA,NA,29.5952,4_March_15,dry
6,watered,530,Davillakunthii,liana,-0.886,-1.583,-0.697,NA,NA,NA,NA,21.2492,7_March_15,dry
6,watered,578,Davillakunthii,liana,-0.157,-1.763,-1.606,NA,NA,NA,NA,35.6728,2_March_15,dry
6,watered,564,Doliocarpusmajor,liana,-0.282,-2.548,-2.266,NA,NA,NA,NA,25.9572,6_March_15,dry
6,watered,583,Doliocarpusmajor,liana,-0.228,-2.395,-2.167,NA,NA,NA,NA,32.5912,2_March_15,dry
6,watered,525,Machaeriummilleflorum,liana,-0.466,-0.617,-0.151,NA,NA,NA,NA,33.0192,11_March_15,dry
6,watered,535,Machaeriummilleflorum,liana,-0.405,-1.104,-0.699,NA,NA,NA,NA,24.0312,9_March_15,dry
6,watered,588,Maripapanamensis,liana,-0.259,-1.564,-1.305,NA,NA,NA,NA,30.1516,4_March_15,dry
